
> ecommerce-async-resilient-system@1.0.0 test
> jest --config jest.config.js --testPathPattern=users\.(service|controller)\.spec --coverage

-----------------------------------------|---------|----------|---------|---------|---------------------------------------------------------------
File                                     | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                                             
-----------------------------------------|---------|----------|---------|---------|---------------------------------------------------------------
All files                                |    4.19 |     2.84 |     3.9 |    4.24 |                                                               
 src                                     |       0 |        0 |       0 |       0 |                                                               
  app.controller.ts                      |       0 |      100 |       0 |       0 | 1-54                                                          
  app.module.ts                          |       0 |      100 |       0 |       0 | 1-121                                                         
  app.service.ts                         |       0 |        0 |       0 |       0 | 1-20                                                          
  health-check.ts                        |       0 |        0 |       0 |       0 | 2-35                                                          
 src/common/decorators                   |       0 |        0 |       0 |       0 |                                                               
  current-user.decorator.ts              |       0 |        0 |       0 |       0 | 1-20                                                          
  public.decorator.ts                    |       0 |      100 |       0 |       0 | 1-8                                                           
 src/common/filters                      |       0 |        0 |       0 |       0 |                                                               
  all-exceptions.filter.ts               |       0 |        0 |       0 |       0 | 1-148                                                         
 src/common/guards                       |       0 |        0 |       0 |       0 |                                                               
  jwt-auth.guard.ts                      |       0 |        0 |       0 |       0 | 1-82                                                          
 src/common/interceptors                 |       0 |        0 |       0 |       0 |                                                               
  logging.interceptor.ts                 |       0 |        0 |       0 |       0 | 1-171                                                         
  response.interceptor.ts                |       0 |        0 |       0 |       0 | 1-62                                                          
 src/common/pipes                        |       0 |        0 |       0 |       0 |                                                               
  custom-validation.pipe.ts              |       0 |        0 |       0 |       0 | 1-25                                                          
 src/common/utils                        |       0 |        0 |       0 |       0 |                                                               
  circuit-breaker.util.ts                |       0 |        0 |       0 |       0 | 1-262                                                         
  logger.module.ts                       |       0 |      100 |     100 |       0 | 1-11                                                          
  retry.util.ts                          |       0 |        0 |       0 |       0 | 1-219                                                         
  winston-logger.service.ts              |       0 |        0 |       0 |       0 | 1-213                                                         
 src/config                              |       0 |        0 |       0 |       0 |                                                               
  env.validation.ts                      |       0 |        0 |       0 |       0 | 1-127                                                         
  typeorm.migrations.ts                  |       0 |      100 |     100 |       0 | 1-4                                                           
 src/database                            |       0 |      100 |       0 |       0 |                                                               
  entities.ts                            |       0 |      100 |       0 |       0 | 2-16                                                          
 src/database/migrations                 |       0 |      100 |       0 |       0 |                                                               
  1727215000000-CreateInitialSchema.ts   |       0 |      100 |       0 |       0 | 3-443                                                         
  1727220000000-CreateCategoriesTable.ts |       0 |      100 |       0 |       0 | 3-104                                                         
  1727221000000-AddCategoryToProducts.ts |       0 |      100 |       0 |       0 | 3-46                                                          
 src/database/seeds                      |       0 |        0 |       0 |       0 |                                                               
